OTU_ID	CM08	CM07	A12	E05	CM05	CM09	CM06	CM02	T02	CM04	L04	P01	D09	CM11	CM10	S03	W08	CM03	CM12	C07	CM01	R11	F06	CM13	Z10	Taxonomy
OTU_2523	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	3	k_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Chaetosphaeriales;f_Herpotrichiellaceae;g_Rhinocladiella_;s_Rhinocladiella_sp
OTU_1701	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Chaetosphaeriales;f_Herpotrichiellaceae;g_Rhinocladiella_;s_Rhinocladiella_sp
OTU_3207	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	k_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Chaetosphaeriales;f_Herpotrichiellaceae;g_Rhinocladiella_;s_Rhinocladiella_sp_Sh25
OTU_2195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	k_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Chaetosphaeriales;f_Herpotrichiellaceae;g_Rhinocladiella_;s_Rhinocladiella_sp_Sh25
OTU_1973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	3	0	0	0	k_Fungi;p_Ascomycota;c_Leotiomycetes;o_Helotiales_;f_incertae_sedis;g_Scleropezicula_;s_Scleropezicula_sp
OTU_6493	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Microbotryomycetes;o_Sporidiobolales;f_incertae_sedis;g_Sporobolomyces_;s_Sporobolomyces_sp_TY_223
OTU_2267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	k_Fungi;p_Basidiomycota;c_Microbotryomycetes;o_Sporidiobolales;f_incertae_sedis;g_Sporobolomyces_;s_Sporobolomyces_sp_TY_223
OTU_776	0	0	0	0	57	0	0	0	0	0	0	0	12	0	31	0	0	0	0	4	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Thelephorales;f_Thelephoraceae;g_Tomentellopsis_;s_Tomentellopsis_sp
OTU_5063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	k_Fungi;p_Chytridiomycota;c_Chytridiomycetes;o_Spizellomycetales;f_Spizellomycetaceae;g_Triparticalcar_;s_Triparticalcar_sp_JEL_350
OTU_563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	k_Fungi;p_Chytridiomycota;c_Chytridiomycetes;o_Spizellomycetales;f_Spizellomycetaceae;g_Triparticalcar_;s_Triparticalcar_sp_JEL_350
